"","title","writer","page","price"
"247","이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"248","파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
"249","한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
"250","맛있는 디자인 어도비 XD CC","임선주 ",364,21600
"251","엑셀 데이터 분석 바이블","최준선 ",712,34200
"252","쿼커스 쿡북","알렉스 소토 부에노 , 제이슨 포터 ",460,31500
"253","실전 시계열 분석","에일린 닐슨 ",568,34200
"254","스파크를 활용한 실시간 처리","제러드 마스 , 프랑수아 가릴로 ",472,34200
"255","게임 엔진 블랙 북 : 둠","파비앙 상글라르 ",472,37800
"256","러닝 SQL","앨런 볼리외 ",456,27000
"257","이야기로 배우는 구글 빅쿼리","구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ",256,18000
"258","쓰면서 익히는 알고리즘과 자료구조","윤대석 ",388,23400
"259","몽고DB 완벽 가이드(3판)","크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ",600,32400
"260","맛있는 디자인 프리미어 프로 CC 2021","정지원 , 심수진 , 윤성우 , 김덕영 ",484,21600
"261","모던 자바스크립트 핵심 가이드","알베르토 몬탈레시 ",284,17820
"262","고성능 파이썬(2판)","미샤 고렐릭 , 이안 오스발트 ",528,32400
"263","데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ",428,31500
"264","데이터 과학을 위한 통계(2판)","피터 브루스 , 앤드루 브루스 , 피터 게데크 ",380,30600
"265","일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기","강남석 ",492,25200
"266","소문난 명강의 : 김상형의 SQL 정복","김상형 ",708,35100
"267","이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"268","파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
"269","한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
"270","맛있는 디자인 어도비 XD CC","임선주 ",364,21600
"271","엑셀 데이터 분석 바이블","최준선 ",712,34200
"272","쿼커스 쿡북","알렉스 소토 부에노 , 제이슨 포터 ",460,31500
"273","실전 시계열 분석","에일린 닐슨 ",568,34200
"274","스파크를 활용한 실시간 처리","제러드 마스 , 프랑수아 가릴로 ",472,34200
"275","게임 엔진 블랙 북 : 둠","파비앙 상글라르 ",472,37800
"276","러닝 SQL","앨런 볼리외 ",456,27000
"277","이야기로 배우는 구글 빅쿼리","구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ",256,18000
"278","쓰면서 익히는 알고리즘과 자료구조","윤대석 ",388,23400
"279","몽고DB 완벽 가이드(3판)","크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ",600,32400
"280","맛있는 디자인 프리미어 프로 CC 2021","정지원 , 심수진 , 윤성우 , 김덕영 ",484,21600
"281","모던 자바스크립트 핵심 가이드","알베르토 몬탈레시 ",284,17820
"282","고성능 파이썬(2판)","미샤 고렐릭 , 이안 오스발트 ",528,32400
"283","데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ",428,31500
"284","데이터 과학을 위한 통계(2판)","피터 브루스 , 앤드루 브루스 , 피터 게데크 ",380,30600
"285","일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기","강남석 ",492,25200
"286","소문난 명강의 : 김상형의 SQL 정복","김상형 ",708,35100
"287","이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"288","파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
"289","한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
"290","맛있는 디자인 어도비 XD CC","임선주 ",364,21600
"291","엑셀 데이터 분석 바이블","최준선 ",712,34200
"292","쿼커스 쿡북","알렉스 소토 부에노 , 제이슨 포터 ",460,31500
"293","실전 시계열 분석","에일린 닐슨 ",568,34200
"294","스파크를 활용한 실시간 처리","제러드 마스 , 프랑수아 가릴로 ",472,34200
"295","게임 엔진 블랙 북 : 둠","파비앙 상글라르 ",472,37800
"296","러닝 SQL","앨런 볼리외 ",456,27000
"297","이야기로 배우는 구글 빅쿼리","구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ",256,18000
"298","쓰면서 익히는 알고리즘과 자료구조","윤대석 ",388,23400
"299","몽고DB 완벽 가이드(3판)","크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ",600,32400
"300","맛있는 디자인 프리미어 프로 CC 2021","정지원 , 심수진 , 윤성우 , 김덕영 ",484,21600
"301","모던 자바스크립트 핵심 가이드","알베르토 몬탈레시 ",284,17820
"302","고성능 파이썬(2판)","미샤 고렐릭 , 이안 오스발트 ",528,32400
"303","데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ",428,31500
"304","데이터 과학을 위한 통계(2판)","피터 브루스 , 앤드루 브루스 , 피터 게데크 ",380,30600
"305","일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기","강남석 ",492,25200
"306","소문난 명강의 : 김상형의 SQL 정복","김상형 ",708,35100
"307","이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"308","파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
