"","title","writer","page","price"
"490","맛있는 디자인 어도비 XD CC","임선주 ",364,21600
"491","엑셀 데이터 분석 바이블","최준선 ",712,34200
"492","쿼커스 쿡북","알렉스 소토 부에노 , 제이슨 포터 ",460,31500
"493","실전 시계열 분석","에일린 닐슨 ",568,34200
"494","스파크를 활용한 실시간 처리","제러드 마스 , 프랑수아 가릴로 ",472,34200
"495","게임 엔진 블랙 북 : 둠","파비앙 상글라르 ",472,37800
"496","러닝 SQL","앨런 볼리외 ",456,27000
"497","이야기로 배우는 구글 빅쿼리","구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ",256,18000
"498","쓰면서 익히는 알고리즘과 자료구조","윤대석 ",388,23400
"499","몽고DB 완벽 가이드(3판)","크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ",600,32400
"500","맛있는 디자인 프리미어 프로 CC 2021","정지원 , 심수진 , 윤성우 , 김덕영 ",484,21600
